dataset initializing start
dataset initializing done
The model has 103,581,959 trainable parameters
step : 69.69 % , loss : 5.946987152099609
step : 70.89 % , loss : 6.172218322753906
step : 72.09 % , loss : 6.45405387878418
step : 73.29 % , loss : 6.489170074462891
step : 74.49 % , loss : 6.551159858703613
step : 75.69 % , loss : 6.312098503112793
step : 76.9 % , loss : 6.407344341278076
step : 78.1 % , loss : 6.32719612121582
step : 79.3 % , loss : 6.450984477996826
step : 80.5 % , loss : 6.617832183837891
step : 81.7 % , loss : 6.345797061920166
step : 82.9 % , loss : 6.221250057220459
step : 84.1 % , loss : 6.3120880126953125
step : 85.31 % , loss : 6.229864597320557
step : 86.51 % , loss : 6.2399749755859375
step : 87.71 % , loss : 6.573884963989258
step : 88.91 % , loss : 7.536075592041016
step : 90.11 % , loss : 6.957608222961426
step : 91.31 % , loss : 6.2941460609436035
step : 92.51 % , loss : 6.66949462890625
step : 93.72 % , loss : 6.444835662841797
step : 94.92 % , loss : 6.474160194396973
step : 96.12 % , loss : 6.476921081542969
step : 97.32 % , loss : 6.445540904998779
step : 98.52 % , loss : 6.162020206451416
step : 99.72 % , loss : 6.311741828918457
Epoch: 3
Epoch time : 0.6364353456099828hrs
	Train Loss: 6.427 | Train PPL: 618.374
	Val Loss: 6.321 |  Val PPL: 556.380
	BLEU Score: 0.000
step : 0.0 % , loss : 6.314096450805664
step : 1.2 % , loss : 6.746203899383545
step : 2.4 % , loss : 6.606151103973389
step : 3.6 % , loss : 6.1944403648376465
step : 4.81 % , loss : 6.009703159332275
step : 6.01 % , loss : 6.116422176361084
step : 7.21 % , loss : 6.639277458190918
step : 8.41 % , loss : 6.498338222503662
step : 9.61 % , loss : 6.283745288848877
step : 10.81 % , loss : 6.106119632720947
step : 12.01 % , loss : 6.665914535522461
step : 13.22 % , loss : 6.386480331420898
step : 14.42 % , loss : 6.267199993133545
step : 15.62 % , loss : 6.751265048980713
step : 16.82 % , loss : 6.609454154968262
step : 18.02 % , loss : 6.489818572998047
step : 19.22 % , loss : 6.641266822814941
step : 20.43 % , loss : 6.533740997314453
step : 21.63 % , loss : 6.4458723068237305
step : 22.83 % , loss : 6.160406112670898
step : 24.03 % , loss : 6.694700241088867
step : 25.23 % , loss : 6.5935378074646
step : 26.43 % , loss : 6.263378143310547
step : 27.63 % , loss : 6.173842430114746
step : 28.84 % , loss : 6.538756847381592
step : 30.04 % , loss : 6.467170238494873
step : 31.24 % , loss : 6.3841986656188965
step : 32.44 % , loss : 6.41348934173584
step : 33.64 % , loss : 6.571727752685547
step : 34.84 % , loss : 6.727991104125977
step : 36.04 % , loss : 6.572657585144043
step : 37.25 % , loss : 6.6636810302734375
step : 38.45 % , loss : 6.49913215637207
step : 39.65 % , loss : 6.5897016525268555
step : 40.85 % , loss : 7.153334140777588
step : 42.05 % , loss : 6.250638008117676
step : 43.25 % , loss : 6.12940788269043
step : 44.46 % , loss : 6.401849746704102
step : 45.66 % , loss : 6.214531421661377
step : 46.86 % , loss : 6.290896892547607
step : 48.06 % , loss : 6.477392196655273
step : 49.26 % , loss : 6.879026889801025
step : 50.46 % , loss : 6.126934051513672
step : 51.66 % , loss : 6.233345031738281
step : 52.87 % , loss : 6.354998588562012
step : 54.07 % , loss : 6.674817085266113
step : 55.27 % , loss : 6.199353218078613
step : 56.47 % , loss : 6.777311325073242
step : 57.67 % , loss : 6.363330364227295
step : 58.87 % , loss : 6.749791145324707
step : 60.07 % , loss : 6.627249717712402
step : 61.28 % , loss : 6.269752025604248
step : 62.48 % , loss : 6.468344211578369
step : 63.68 % , loss : 6.261467456817627
step : 64.88 % , loss : 6.461541652679443
step : 66.08 % , loss : 6.594816207885742
step : 67.28 % , loss : 6.086607933044434
step : 68.48 % , loss : 6.462425708770752
step : 69.69 % , loss : 6.029170036315918
step : 70.89 % , loss : 6.376981258392334
step : 72.09 % , loss : 6.517237663269043
step : 73.29 % , loss : 6.723775386810303
step : 74.49 % , loss : 5.788095951080322
step : 75.69 % , loss : 6.275791168212891
step : 76.9 % , loss : 6.563924312591553
step : 78.1 % , loss : 6.548178195953369
step : 79.3 % , loss : 6.497354030609131
step : 80.5 % , loss : 6.572489261627197
step : 81.7 % , loss : 6.265782833099365
step : 82.9 % , loss : 6.567534446716309
step : 84.1 % , loss : 6.372862339019775
step : 85.31 % , loss : 6.649387359619141
step : 86.51 % , loss : 6.1529035568237305
step : 87.71 % , loss : 6.052509307861328
step : 88.91 % , loss : 6.0145111083984375
step : 90.11 % , loss : 6.421548843383789
step : 91.31 % , loss : 6.5525689125061035
step : 92.51 % , loss : 6.826292037963867
step : 93.72 % , loss : 5.672529697418213
step : 94.92 % , loss : 6.512190341949463
step : 96.12 % , loss : 6.212231636047363
step : 97.32 % , loss : 6.396587371826172
step : 98.52 % , loss : 6.171072959899902
step : 99.72 % , loss : 6.523059368133545
Epoch: 4
Epoch time : 0.6341631597942776hrs
